tag,count,total,ratio
gender,702,1011,0.6943620178041543
bearing,95,1011,0.09396636993076163
profession,62,1011,0.06132542037586548
molka,48,1011,0.04747774480712166
metoo,32,1011,0.03165182987141444
abuse,23,1011,0.02274975272007913
demonize,21,1011,0.020771513353115726
neutral,15,1011,0.01483679525222552
trivialize,10,1011,0.009891196834817012
porn,3,1011,0.002967359050445104
