date,clean,bad,total,ratio,z
20191222,335,3,338,0.008875739644970414,-0.9635510722361206
20191223,360,7,367,0.01907356948228883,0.3460207517720849
20191224,359,2,361,0.00554016620498615,-1.3918944613293984
20191225,321,4,325,0.012307692307692308,-0.5228309798117939
20191226,342,9,351,0.02564102564102564,1.189391907997659
20191227,347,5,352,0.014204545454545454,-0.2792433268476433
20191228,303,6,309,0.019417475728155338,0.39018406267957956
20191229,330,6,336,0.017857142857142856,0.18981123860340407
20191230,342,5,347,0.01440922190201729,-0.25295944950088267
20191231,362,2,364,0.005494505494505495,-1.3977580598462946
20200101,362,1,363,0.0027548209366391185,-1.7495793552480645
20200102,350,3,353,0.0084985835694051,-1.01198421710057
20200103,356,3,359,0.008356545961002786,-1.0302242204032817
20200104,304,4,308,0.012987012987012988,-0.4355948486646589
20200105,312,4,316,0.012658227848101266,-0.4778163566658785
20200106,342,10,352,0.028409090909090908,1.544857761017541
20200107,346,5,351,0.014245014245014245,-0.2740464576514461
20200108,332,6,338,0.01775147928994083,0.1762422702405863
20200109,361,4,365,0.010958904109589041,-0.6960379315817703
20200110,362,4,366,0.01092896174863388,-0.6998830312624562
20200111,304,2,306,0.006535947712418301,-1.2640194697081937
20200112,324,4,328,0.012195121951219513,-0.5372868953749131
20200113,377,2,379,0.005277044854881266,-1.4256836411734661
20200114,351,6,357,0.01680672268907563,0.05491972958480223
20200115,346,6,352,0.017045454545454544,0.0855768907253935
20200116,339,6,345,0.017391304347826087,0.12998978677776338
20200117,343,8,351,0.022792022792022793,0.823532316585383
20200118,326,3,329,0.00911854103343465,-0.9323713151470923
20200119,309,5,314,0.01592356687898089,-0.05849223978115595
20200120,353,12,365,0.03287671232876712,2.118575034680344
20200121,349,2,351,0.005698005698005698,-1.3716252318882751
20200122,359,3,362,0.008287292817679558,-1.0391174816820903
20200123,363,6,369,0.016260162601626018,-0.015267722262274852
20200124,324,4,328,0.012195121951219513,-0.5372868953749131
20200125,317,3,320,0.009375,-0.899437696721806
20200126,309,4,313,0.012779552715654952,-0.4622362155344381
20200127,337,8,345,0.02318840579710145,0.8744345206079603
20200128,356,11,367,0.02997275204359673,1.7456579897634632
20200129,366,4,370,0.010810810810810811,-0.7150555867592169
20200130,363,7,370,0.01891891891891892,0.3261610342059911
20200131,367,7,374,0.01871657754010695,0.3001770187095328
20200201,321,2,323,0.006191950464396285,-1.3081944668137007
20200202,339,7,346,0.02023121387283237,0.4946816433795507
20200203,352,7,359,0.019498607242339833,0.4006027053427793
20200204,351,16,367,0.043596730245231606,3.495204537252686
20200205,372,7,379,0.018469656992084433,0.2684682926749372
20200206,367,9,376,0.023936170212765957,0.9704599716472277
20200207,359,7,366,0.01912568306010929,0.3527130063253223
20200208,302,8,310,0.025806451612903226,1.2106353681441784
20200209,324,11,335,0.03283582089552239,2.1133238910865715
20200210,357,5,362,0.013812154696132596,-0.32963285966159867
20200211,352,3,355,0.008450704225352112,-1.018132725256132
20200212,356,7,363,0.01928374655647383,0.3730110015405137
20200213,357,4,361,0.0110803324099723,-0.6804445079459691
20200214,345,7,352,0.019886363636363636,0.4503971082984305
20200215,296,2,298,0.006711409395973154,-1.2414872564194785
20200216,304,8,312,0.02564102564102564,1.189391907997659
20200217,354,6,360,0.016666666666666666,0.03693419504898871
20200218,367,2,369,0.005420054200542005,-1.4073188505626435
20200219,341,6,347,0.01729106628242075,0.11711754354150654
20200220,340,10,350,0.02857142857142857,1.565704630593143
20200221,349,3,352,0.008522727272727272,-1.008883761993717
20200222,307,13,320,0.040625,3.1135846965816
20200223,322,4,326,0.012269938650306749,-0.5276791805323493
20200224,335,6,341,0.017595307917888565,0.1561872554169494
20200225,338,4,342,0.011695906432748537,-0.6013945131255881
20200226,348,3,351,0.008547008547008548,-1.0057656404759985
20200227,326,7,333,0.021021021021021023,0.5961060840858599
20200228,340,4,344,0.011627906976744186,-0.6101267799952813
20200229,311,6,317,0.01892744479495268,0.32725589921226356
20200301,329,4,333,0.012012012012012012,-0.5608012725421492
20200302,334,14,348,0.040229885057471264,3.0628453329881085
20200303,348,7,355,0.01971830985915493,0.42881619401946236
20200304,348,8,356,0.02247191011235955,0.7824244973255764
20200305,346,7,353,0.019830028328611898,0.4431627130491068
20200306,340,7,347,0.020172910662824207,0.48719453658389533
20200307,313,9,322,0.027950310559006212,1.4859426948256222
20200308,337,8,345,0.02318840579710145,0.8744345206079603
20200309,363,6,369,0.016260162601626018,-0.015267722262274852
20200310,363,7,370,0.01891891891891892,0.3261610342059911
20200311,358,8,366,0.02185792349726776,0.7035783521879151
20200312,350,4,354,0.011299435028248588,-0.6523080691115962
20200313,341,6,347,0.01729106628242075,0.11711754354150654
20200314,330,6,336,0.017857142857142856,0.18981123860340407
20200315,334,4,338,0.011834319526627219,-0.5836199580772183
20200316,386,1,387,0.002583979328165375,-1.771518273664484
20200317,354,6,360,0.016666666666666666,0.03693419504898871
20200318,366,5,371,0.013477088948787063,-0.3726609027760488
20200319,369,3,372,0.008064516129032258,-1.0677257325700134
20200320,345,8,353,0.0226628895184136,0.8069494455865261
20200321,333,5,338,0.014792899408284023,-0.20368884391831615
20200322,338,6,344,0.01744186046511628,0.1364820373634918
20200323,378,6,384,0.015625,-0.09683321806112478
20200324,376,9,385,0.023376623376623377,0.8986048041738759
20200325,344,9,353,0.025495750708215296,1.1707361781239451
20200326,347,8,355,0.022535211267605635,0.7905534238383608
20200327,371,3,374,0.008021390374331552,-1.0732638003889587
20200328,328,4,332,0.012048192771084338,-0.5561550582585024
20200329,342,6,348,0.017241379310344827,0.11073690573043064
20200330,356,6,362,0.016574585635359115,0.025109451348647123
20200331,361,8,369,0.02168021680216802,0.6807578418879091
20200401,373,2,375,0.005333333333333333,-1.4184552595890465
20200402,360,8,368,0.021739130434782608,0.688323337150411
20200403,349,6,355,0.016901408450704224,0.0670789642005634
20200404,352,1,353,0.0028328611898017,-1.7395576821754084
20200405,359,4,363,0.011019283746556474,-0.6882841768537754
20200406,342,7,349,0.02005730659025788,0.4723490411609917
20200407,342,9,351,0.02564102564102564,1.189391907997659
20200408,331,6,337,0.017804154302670624,0.183006622421457
20200409,196,4,200,0.02,0.46498991700135206
