tag,count,total,ratio
gender,6101,8470,0.7203069657615112
bearing,812,8470,0.09586776859504133
molka,443,8470,0.05230224321133412
profession,438,8470,0.051711924439197164
metoo,285,8470,0.03364817001180637
demonize,167,8470,0.01971664698937426
abuse,164,8470,0.01936245572609209
trivialize,49,8470,0.005785123966942148
porn,11,8470,0.0012987012987012987
